url,status,notes
https://translinkcf.com/2025/03/03/translink-corporate-finance-advised-cromar-building-products-on-its-sale-to-sika/,crawled,Successfully processed
https://translinkcf.com/2015/09/16/translink-advises-caxal-enterprises-with-its-acquisition-of-metal-concentrators/,crawled,Successfully processed
https://translinkcf.com/2015/08/30/translink-advises-ah-industries-on-the-sale-of-the-company-to-industrial-barranquesa-s-a/,crawled,Successfully processed
https://translinkcf.com/2015/07/31/translink-advises-spu-insulation-on-the-sale-of-the-company-to-kingspan-group/,crawled,Successfully processed
https://translinkcf.com/2015/07/30/translink-advises-blg-logistics-to-acquire-motex/,crawled,Successfully processed
https://translinkcf.com/2015/05/30/translink-acted-as-advisor-to-lyxxa-on-the-sale-of-the-company-to-iduna-group-golden-heights-ab/,crawled,Successfully processed
https://translinkcf.com/2015/01/10/translink-advises-ticket-to-heaven-on-the-sale-of-the-company-to-kfg/,crawled,Successfully processed
https://translinkcf.com/2015/01/10/translink-advises-east-on-the-sale-of-the-company-to-industri-udvikling/,crawled,Successfully processed
https://translinkcf.com/2014/11/30/translink-advises-esec-on-the-sale-of-the-company-to-dubex-2/,crawled,Successfully processed
https://translinkcf.com/2025/02/25/translinks-us-partner-dinan-company-initiated-the-acquisitions-of-site-barricades-integrity-traffic-and-ws-barricade-by-awp-safety-a-portfolio-company-of-kohlberg-company-llc/,crawled,Successfully processed
https://translinkcf.com/2025/02/28/translink-corporate-finance-forecasts-the-forces-reshaping-ma-in-2025/,crawled,Successfully processed
https://translinkcf.com/2015/02/10/translink-advises-severn-glocon-to-acquire-armaturen-technik/,crawled,Successfully processed
https://translinkcf.com/2021/06/23/nordic-id-oyj-public-takeover-by-brady-corporation-first-ever-nasdaq-first-north-finland-public-bid/,crawled,Successfully processed
https://translinkcf.com/2021/12/06/translink-advises-in-the-acquisition-of-unipex-by-barentz-international-2/,crawled,Successfully processed
https://translinkcf.com/2022/11/10/will-the-wild-ride-in-tech-dealmaking-continue-into-2023/,error,Parse failure: 'list' object has no attribute 'strip'
https://translinkcf.com/2015/08/30/translink-acted-as-financial-advisor-to-mibelle-group-in-the-joint-venture-with-future-consumer-enterprise-limited/,crawled,Successfully processed
https://translinkcf.com/2025/01/20/2024-successful-for-translink-corporate-finance/,crawled,Successfully processed
https://translinkcf.com/2022/11/24/translink-corporate-finance-advised-alvic-a-portfolio-company-of-kkr-and-arta-capital-on-the-acquisition-of-stratagem-2/,crawled,Successfully processed
https://translinkcf.com/2024/05/30/translink-corporate-finance-acted-as-the-advisor-to-visma-on-its-investment-in-mycompanyfiles/,crawled,Successfully processed
https://translinkcf.com/2025/02/17/cross-border-mergers-acquisitions-in-emerging-markets/,crawled,Successfully processed
https://translinkcf.com/2025/02/14/translinks-us-partner-dinan-company-initiated-the-partnership-of-nw-boiler-inc-with-waypoint-acquisitions/,crawled,Successfully processed
https://translinkcf.com/2025/02/06/translink-corporate-finance-advised-visma-on-the-acquisition-of-evoliz/,crawled,Successfully processed
https://translinkcf.com/2024/12/02/2025-megatrends-shaping-food-beverage-ma/,crawled,Successfully processed
https://translinkcf.com/2022/10/01/translink-advised-peopleshare-a-portfolio-company-of-trivest-on-the-acquisition-of-decisionpathhr/,crawled,Successfully processed
https://translinkcf.com/2025/01/24/translink-corporate-finance-advised-proteinesxtc-on-the-sale-to-nutrikeo/,crawled,Successfully processed
https://translinkcf.com/2025/02/12/q4-2024-saas-valuation-index-key-trends-insights/,crawled,Successfully processed
https://translinkcf.com/2021/02/26/translink-advises-nordic-water-technology-company-smartvatten-in-the-sale-of-a-majority-stake-to-norvestor/,crawled,Successfully processed
https://translinkcf.com/2025/02/10/translink-corporate-finance-advised-linkity-on-securing-a-growth-investment-from-hartwall-capital/,crawled,Successfully processed
https://translinkcf.com/2025/02/07/translinks-us-partner-dinan-company-initiated-the-partnership-of-absolute-construction-with-bilt-exteriors/,crawled,Successfully processed
https://translinkcf.com/2023/02/13/translink-advised-tamtron-on-the-acquisition-of-lahti-precision/,crawled,Successfully processed
https://translinkcf.com/2023/02/09/how-to-mitigate-and-smooth-challenges-in-ma-transactions-2/,crawled,Successfully processed
https://translinkcf.com/2023/02/07/how-to-mitigate-and-smooth-challenges-in-ma-transactions/,crawled,Successfully processed
https://translinkcf.com/2023/02/06/translink-advised-miss-group-on-the-acquisition-of-domene/,crawled,Successfully processed
https://translinkcf.com/2023/01/31/translink-advised-mytee-product-inc-a-portfolio-company-of-dry-fly-capital-on-the-acquisition-of-square-scrub/,crawled,Successfully processed
https://translinkcf.com/2023/01/31/translink-advised-miss-group-on-the-acquisition-of-sered/,crawled,Successfully processed
https://translinkcf.com/2023/01/30/translink-advised-trans-ash-inc-on-the-sale-to-northstar-group/,crawled,Successfully processed
https://translinkcf.com/2023/01/29/translink-advised-wealthcare-on-the-acquisition-of-sommers-financial-management/,crawled,Successfully processed
https://translinkcf.com/2023/01/27/translink-advised-re3dtech-on-the-acquisition-of-stanfordville-machine-and-manufacturing/,crawled,Successfully processed
https://translinkcf.com/2023/01/13/translink-acted-as-the-advisor-to-the-pedrollo-group-on-the-acquisition-of-saci-pumps/,crawled,Successfully processed
https://translinkcf.com/2025/02/05/translink-corporate-finance-releases-q4-2024-saas-valuation-index/,crawled,Successfully processed
https://translinkcf.com/2025/02/04/strategic-decision-making-in-mid-market-cross-border-deals/,crawled,Successfully processed
https://translinkcf.com/2025/01/23/private-equitys-strategic-role-in-ma/,crawled,Successfully processed
https://translinkcf.com/2023/07/27/navigating-regulatory-challenges-in-cross-border-ma-deals/,crawled,Successfully processed
https://translinkcf.com/2025/01/23/translinks-us-partner-dinan-company-initiated-the-acquisition-of-my-contractors-license-by-career-certified/,crawled,Successfully processed
https://translinkcf.com/2022/03/29/translink-advised-grupo-gecol-on-its-100-sale-to-soprema-group/,crawled,Successfully processed
https://translinkcf.com/2022/04/20/translink-advised-jcommerce-in-sale-to-inetum-group/,crawled,Successfully processed
https://translinkcf.com/2022/05/18/translink-advised-baobag-in-the-acquisition-of-satucesa/,crawled,Successfully processed
https://translinkcf.com/2022/05/23/translink-advised-smartvatten-in-the-acquisition-of-neuroflux/,crawled,Successfully processed
https://translinkcf.com/2022/05/25/translink-advised-the-owners-of-twig-com-in-the-investment-from-valedo/,crawled,Successfully processed
https://translinkcf.com/2021/01/29/translink-advises-the-villmann-group-on-the-sale-of-fwn-wba-and-fwb-to-inveho-a-portfolio-company-of-the-french-ermewa-group/,crawled,Successfully processed
https://translinkcf.com/2022/04/28/translink-advised-pharma-insight-on-the-100-sale-to-m3-inc/,crawled,Successfully processed
https://translinkcf.com/2022/05/14/translink-advised-carne-fleischhandel-gmbh-on-the-sale-to-gausepohl-food-gmbh/,crawled,Successfully processed
https://translinkcf.com/2022/08/16/translink-advises-bvl-on-sale-of-deutsche-ausenhandels-und-verkehrs-akademie/,crawled,Successfully processed
https://translinkcf.com/2022/01/03/translink-advises-planethome-group-on-the-acquisition-of-hammers-heinz-immobilien-gmbh/,crawled,Successfully processed
https://translinkcf.com/2024/12/11/the-future-of-the-food-beverage-industry-key-trends-to-watch/,crawled,Successfully processed
https://translinkcf.com/2025/01/22/translink-cf-saas-valuation-index-q3-2024-trends-insights-and-market-dynamics/,crawled,Successfully processed
https://translinkcf.com/2025/01/17/translink-corporate-finance-advised-socotec-germany-on-the-acquisition-of-trigis-geoservices-and-its-subsidiaries/,crawled,Successfully processed
https://translinkcf.com/2022/12/30/translink-advised-trivest-partners-on-its-partnership-with-perricone-juices/,crawled,Successfully processed
https://translinkcf.com/2022/12/29/translink-corporate-finance-advised-the-shareholders-of-epms-supplies-on-the-sale-to-the-management-team/,crawled,Successfully processed
https://translinkcf.com/2022/12/23/translink-advised-fox-recykling-on-the-76-sale-to-saica-group/,crawled,Successfully processed
https://translinkcf.com/2022/12/22/translink-advised-grupo-mfi-on-the-sale-of-its-operating-subsidiaries-ibervision-medop-and-elaboria-to-fielmann-ag/,crawled,Successfully processed
https://translinkcf.com/2022/12/21/translink-advised-area-wide-protective-awp-on-the-acquisitions-of-motplans-llc-and-crossroads-lp/,crawled,Successfully processed
https://translinkcf.com/2022/12/20/translink-cf-advised-barentz-on-the-acquisition-of-natural/,crawled,Successfully processed
https://translinkcf.com/2022/12/05/translink-advised-areco-italia-on-the-100-sale-to-briolf-group/,crawled,Successfully processed
https://translinkcf.com/2022/11/30/translink-advised-tamtron-group-oyj-on-the-successful-ipo-on-nasdaq-first-north-growth-market-finland/,crawled,Successfully processed
https://translinkcf.com/2022/11/30/translink-advised-city-rise-safety-on-the-partnership-with-bay-area-traffic-solutions/,crawled,Successfully processed
https://translinkcf.com/2022/11/29/translink-advised-entrust-solutions-group-on-the-acquisition-of-magellan-advisors/,crawled,Successfully processed
https://translinkcf.com/2022/11/24/translink-advised-suora-broadcast-on-the-share-sale-to-dmc/,crawled,Successfully processed
https://translinkcf.com/2022/11/18/translink-advised-unifeye-vision-partners-on-its-partnership-with-eye-care-of-san-diego/,crawled,Successfully processed
https://translinkcf.com/2022/11/08/exploring-alternative-futures-for-the-food-and-beverage-sector/,no_deals,Not deal related
https://translinkcf.com/2022/11/07/translink-advised-therapeutic-pathways-on-its-partnership-with-trumpet-behavioral-health/,crawled,Successfully processed
https://translinkcf.com/2022/10/22/translink-corporate-finance-advised-alvic-a-portfolio-company-of-kkr-and-arta-capital-on-the-acquisition-of-stratagem-2-2/,crawled,Successfully processed
https://translinkcf.com/2022/10/21/translink-advised-studeo-on-the-majority-stake-sale-to-klett-group/,crawled,Successfully processed
https://translinkcf.com/2022/10/18/translink-corporate-finance-celebrates-golden-anniversary/,no_deals,Not deal related
https://translinkcf.com/2022/10/17/translink-advised-peopleshare-a-portfolio-company-of-trivest-on-the-acquisition-of-decisionpathhr-2/,crawled,Successfully processed
https://translinkcf.com/2022/10/07/translink-acted-as-the-exclusive-advisor-to-astro-sweden-ab-on-the-majority-stake-sale-to-swisscommerce/,crawled,Successfully processed
https://translinkcf.com/2025/01/16/translink-corporate-finance-advised-stora-enso-on-the-sale-of-selfly-store-to-husky-intelligent-fridges/,crawled,Successfully processed
https://translinkcf.com/2025/01/15/translink-corporate-finance-advised-dec-energies-on-the-sale-to-homeserve/,crawled,Successfully processed
https://translinkcf.com/2022/09/30/preparing-for-an-ever-changing-tmt-sector-tomorrow-2050/,no_deals,Not deal related
https://translinkcf.com/2022/09/27/translink-advised-magna5-a-portfolio-company-of-newspring-capital-on-the-acquisition-of-interphase-systems/,crawled,Successfully processed
https://translinkcf.com/2022/09/26/translink-advised-encore-personnel-on-the-sale-to-gi-group/,crawled,Successfully processed
https://translinkcf.com/2022/09/22/translink-advised-lesjofors-a-portfolio-company-of-beijer-alma-on-the-acquisition-of-telform/,crawled,Successfully processed
https://translinkcf.com/2022/09/19/translink-advised-thinkwater-profine-on-the-100-sale-to-culligan-international/,crawled,Successfully processed
https://translinkcf.com/2022/09/16/the-secret-behind-the-phenomenal-growth-of-miss-group/,crawled,Successfully processed
https://translinkcf.com/2022/09/02/industry-expertise-is-key-to-navigate-transport-and-logistics-ma-trends/,crawled,Successfully processed
https://translinkcf.com/2022/08/21/translink-advised-arcxis-a-portfolio-company-of-saw-mill-capital-partners-on-the-acquisition-of-jacksonville-building-science-llc/,crawled,Successfully processed
https://translinkcf.com/2022/08/20/translink-acted-as-the-exclusive-advisor-to-avaloq-group-on-the-sale-of-its-subsidiary-avaloq-outline-to-swiss-post-solutions/,crawled,Successfully processed
https://translinkcf.com/2024/11/29/translink-corporate-finance-acted-as-the-financial-advisor-to-profinder-a-portfolio-company-of-juuri-partners-in-its-sale-to-ilkka/,crawled,Successfully processed
https://translinkcf.com/2022/08/17/translink-advised-keystone-foam-corporation-on-the-sale-to-valley-ridge-investment-partners-and-tecum-capital-in-partnership-with-c/,crawled,Successfully processed
https://translinkcf.com/2022/08/15/translink-advised-minitech-as-on-the-100-sale-to-eitrium/,crawled,Successfully processed
https://translinkcf.com/2022/08/13/translink-advised-nr1-fitness-as-on-the-sale-to-credo-partners/,crawled,Successfully processed
https://translinkcf.com/2022/08/12/translink-advised-entrust-solutions-group-on-the-acquisition-of-fiberrise-communications-llc/,crawled,Successfully processed
https://translinkcf.com/2022/08/05/translink-corporate-finance-advised-bluethread-services-on-their-partnership-with-roofcare/,crawled,Successfully processed
https://translinkcf.com/2022/08/04/translink-corporate-finance-advised-planethome-group-on-its-investment-in-renewa-gmbh/,crawled,Successfully processed
https://translinkcf.com/2022/08/02/translink-advised-southern-hvac-on-the-acquisition-of-pro-plumbing-services/,crawled,Successfully processed
https://translinkcf.com/2022/07/26/the-implications-of-industry-goliath-split-atos-1/,crawled,Successfully processed
https://translinkcf.com/2022/07/18/translink-corporate-finance-advised-alvic-a-portfolio-company-of-kkr-and-arta-capital-on-the-acquisition-of-stratagem/,crawled,Successfully processed
https://translinkcf.com/2025/01/09/translink-corporate-finance-advised-the-shareholders-of-the-aurela-group-on-the-sale-to-mastergrid/,processing,URL is being processed
https://translinkcf.com/2025/01/08/translink-corporate-finance-advised-rtc-on-the-sale-to-fos-group/,crawled,Successfully processed
https://translinkcf.com/2022/07/14/translink-advised-ceme-on-the-acquisition-of-sequor/,crawled,Successfully processed
https://translinkcf.com/2022/07/12/translink-corporate-finance-advised-neusta-consulting-gmbh-on-the-100-sale-to-cpl-resources-plc/,crawled,Successfully processed
https://translinkcf.com/2022/07/10/translink-advised-visma-on-the-acquisition-of-inqom/,crawled,Successfully processed
https://translinkcf.com/2022/07/08/translink-acted-as-the-exclusive-advisor-to-keymet-on-the-100-sale-to-eitrium/,crawled,Successfully processed
https://translinkcf.com/2022/07/07/how-burden-of-disease-and-new-tech-could-shape-healthcare/,crawled,Successfully processed
https://translinkcf.com/2022/07/06/translink-advised-safedo-in-the-100-sale-to-presto-group/,crawled,Successfully processed
https://translinkcf.com/2022/07/01/top-food-sector-ma-trends-resulting-in-seismic-change/,error,Parse failure: Extra data: line 14 column 1 (char 581)
https://translinkcf.com/2022/06/30/translink-corporate-finance-advised-cecop-group-on-the-acquisition-of-optic-society-vertriebs-gmbh/,crawled,Successfully processed
https://translinkcf.com/2022/06/30/translink-advised-the-shareholders-of-leaders-league-on-the-100-sale-to-groupe-ficade/,crawled,Successfully processed
https://translinkcf.com/2022/06/30/translink-advised-ecotree-in-its-fundraising-of-e12m-from-societe-generale-financiere-fonds-prives-and-famae-impact/,crawled,Successfully processed
https://translinkcf.com/2022/06/29/translink-advised-ifp-europe-in-the-sale-of-70-stake-to-pool-of-industrial-investors-led-by-b-group/,processing,URL is being processed
https://translinkcf.com/2022/06/27/translink-advised-the-shareholders-of-bl-grundvandssaenkning-a-s-on-the-100-sale-to-per-aarsleff/,,
https://translinkcf.com/2022/06/15/translink-corporate-finance-acted-as-the-advisor-to-industrial-service-solutions-in-the-acquisition-of-servo-south/,,
https://translinkcf.com/2022/06/14/translink-advised-doc-brands-inc-on-the-exclusive-partnership-with-orvance-2/,,
https://translinkcf.com/2022/06/10/translink-advised-wealthcare-on-the-acquisition-of-eagle-financial-management-services/,,
https://translinkcf.com/2024/11/04/translink-corporate-finance-acted-as-the-advisor-to-the-owners-of-xdc-gruppen-a-s-on-the-sale-to-digital-group-a-s/,,
https://translinkcf.com/2024/11/06/translinks-us-partner-dinan-company-initiated-the-acquisition-of-nostalgia-group-inc-by-support-inc-a-portfolio-company-of-petra-capital-partners/,,
https://translinkcf.com/2024/11/07/translink-corporate-finance-acted-as-the-advisor-to-netisys-on-the-sale-to-sogelink/,,
https://translinkcf.com/2024/11/11/translink-corporate-finance-in-the-us-dinan-company-initiated-the-investment-in-tectonic-engineering-consultants-by-good-springs-capital/,,
https://translinkcf.com/2024/11/15/translink-corporate-finance-acted-as-the-advisor-to-the-shareholders-of-clear-line-on-the-sale-to-fasadgruppen-group/,,
https://translinkcf.com/2024/11/18/uk-cgt-adjustment-why-translinkcf-is-optimistic-for-ma-in-2025/,,
https://translinkcf.com/2024/11/20/translink-corporate-finance-acted-as-the-advisor-to-diploma-plc-and-its-subsidiary-interconnect-solutions-group-isg-on-the-sale-of-gremtek-to-groupe-baelens-dbnext/,,
https://translinkcf.com/2024/11/26/translink-corporate-finance-acted-as-advisor-to-salesmanago-a-portfolio-company-of-perwyn-and-silvertree-equity-on-its-acquisition-of-leadoo/,,
https://translinkcf.com/2024/11/28/translink-corporate-finance-advises-visma-on-its-acquisition-of-tugesto/,,
https://translinkcf.com/2024/12/02/translink-corporate-finance-acted-as-the-advisor-to-hickap-on-the-sale-to-dermoshop/,,
https://translinkcf.com/2024/12/05/translink-corporate-finance-advised-marinomed-biotech-ag-on-the-sale-of-its-carragelose-business-unit-to-unither-pharmaceuticals-sas-a-leading-international-cdmo/,,
https://translinkcf.com/2024/12/19/translink-corporate-finance-advised-the-owners-of-mathot-on-the-sale-to-mediq/,,
https://translinkcf.com/2024/12/20/translink-cf-unveils-q3-2024-saas-valuation-index-key-insights-into-a-dynamic-ma-market/,,
https://translinkcf.com/2022/05/20/translink-advised-thermica-as-in-their-80-stake-sale-to-storskogen/,,
https://translinkcf.com/2021/12/13/mid-state-industrial-maintenance-acquires-elmco-industrial-services/,,
https://translinkcf.com/2022/05/02/industrials-of-the-future-report-2050/,,
https://translinkcf.com/2020/12/31/benford-capital-partners-recapitalizes-brothers-international-food-corporation/,,
https://translinkcf.com/2017/03/09/translink-advises-adcock-ingram-to-acquire-virtual-logistics/,,
https://translinkcf.com/2017/03/09/barentz-acquires-majority-share-in-globe-ingredients-to-strengthen-its-global-position-as-an-animal-nutrition-ingredients-supplier/,,
https://translinkcf.com/2017/02/09/translink-advises-adcock-ingram-to-acquire-the-entire-brand-and-all-associated-intellectual-property-adcock-ingram/,,
https://translinkcf.com/2017/03/03/nanogate-acquired-the-plastics-division-of-jay-industries/,,
https://translinkcf.com/2017/01/09/translink-acting-as-the-exclusive-financial-advisor-to-dmg-meccanica-on-sale-to-grob-werke/,,
https://translinkcf.com/2017/01/01/bertelsmann-division-arvato-acquires-india-based-it-analytics-start-up-ramyam/,,
https://translinkcf.com/2016/12/16/juuri-partners-acquired-minority-ownership-of-attido-oy-through-a-share-purchase-and-an-additional-investment/,,
https://translinkcf.com/2016/11/14/iberia-industry-capital-group-acquired-the-german-subsidiary-of-euromaint-ab/,,
https://translinkcf.com/2016/07/30/staci-a-portfolio-company-of-icg-acquired-callius-logistik/,,
https://translinkcf.com/2014/05/14/techniplas-group-acquisition-in-switzerland-2/,,
https://translinkcf.com/2024/11/04/nordic-region-hotbed-for-tech-investors/,,
https://translinkcf.com/2024/11/01/translink-meet-to-chart-course-for-2025/,,
https://translinkcf.com/2024/01/16/signaturecare-sells-11-emergency-departments-to-hca-healthcare/,,
https://translinkcf.com/2023/05/30/team-select-receives-strategic-investment-from-court-square-capital-advised-by-translink/,,
https://translinkcf.com/2024/10/31/translink-corporate-finance-acted-as-the-exclusive-advisor-to-rossetto-on-the-sale-to-trend-holdings-ltd/,,
https://translinkcf.com/2016/07/26/onyx-promavi-sold-to-assystem/,,
https://translinkcf.com/2016/04/11/mbo-of-kultakeskus-oy/,,
https://translinkcf.com/2016/02/10/bwb-acquired-alucol/,,
https://translinkcf.com/2024/09/18/the-impact-of-industry-4-0-on-the-industrials-sector/,,
https://translinkcf.com/2023/02/14/ma-opportunities-within-the-us-logistics-sector/,,
https://translinkcf.com/2022/10/11/4-considerations-to-prioritise-to-reduce-ma-risk/,,
https://translinkcf.com/2022/09/26/global-ma-trends-opportunities-amidst-the-turmoil/,,
https://translinkcf.com/2024/08/28/saas-market-trends-ma-valuations-q2-2024/,,
https://translinkcf.com/2024/10/29/translinks-us-partner-dinan-capital-advisors-advised-irn-home-care-in-its-sale-to-honor-health-network-a-portfolio-company-of-webster-equity-partners/,,
https://translinkcf.com/2024/10/24/translink-corporate-finance-acted-as-the-advisor-to-the-shareholders-of-riverside-medical-packaging-on-the-sale-to-sterimed-infection-control/,,
https://translinkcf.com/2024/10/23/translinks-us-partner-dinan-company-initiated-the-acquisition-of-fullscope-it-inc-by-magna5-a-portfolio-company-of-newspring-capital/,,
https://translinkcf.com/2024/10/23/translink-corporate-finance-acted-as-the-advisor-to-eluxis-on-the-sale-to-demcon/,,
https://translinkcf.com/2024/02/16/translink-benelux-and-aenf-partners-merge-to-become-top-10-in-the-region/,,
